ADC1, 196.85, 36.51, 180.00, MCP3208, SOIC127P600X175-16N_1PRIMARY
ADC2, 217.81, 36.58, 180.00, MCP3208, SOIC127P600X175-16N_1PRIMARY
ADC3, 239.90, 36.58, 180.00, MCP3208, SOIC127P600X175-16N_1PRIMARY
C1, 188.87, 31.57, 180.00, Cap, CAPCP2012X06N_3PRIMARY
C16, 115.16, 50.62, 90.00, 1nF, CAPCP2012X06N_16PRIMARY
C17, 142.08, 52.07, 90.00, 1nF, CAPCP2012X06N_14PRIMARY
C18, 115.16, 57.31, 90.00, 0.1UF, CAPCP2012X06N_15PRIMARY
C19, 142.08, 58.29, 90.00, 0.1UF, CAPCP2012X06N_14PRIMARY
C2, 205.63, 36.02, 180.00, Cap, CAPCP2012X06N_3PRIMARY
C20, 120.11, 57.31, 90.00, 1nF, CAPCP2012X06N_15PRIMARY
C21, 146.52, 58.29, 90.00, 1nF, CAPCP2012X06N_14PRIMARY
C22, 166.08, 51.82, 90.00, 1nF, CAPCP2012X06N_14PRIMARY
C23, 166.08, 58.04, 90.00, 0.1UF, CAPCP2012X06N_14PRIMARY
C24, 196.05, 52.71, 90.00, 1nF, CAPCP2012X06N_14PRIMARY
C25, 171.10, 58.04, 90.00, 1nF, CAPCP2012X06N_13PRIMARY
C26, 196.05, 59.18, 90.00, 0.1UF, CAPCP2012X06N_14PRIMARY
C27, 200.94, 59.18, 90.00, 1nF, CAPCP2012X06N_13PRIMARY
C28, 224.86, 53.53, 90.00, 1nF, CAPCP2012X06N_11PRIMARY
C29, 224.86, 60.01, 90.00, 0.1UF, CAPCP2012X06N_11PRIMARY
C3, 234.04, 32.28, 180.00, Cap, CAPCP2012X06N_3PRIMARY
C30, 229.75, 60.01, 90.00, 1nF, CAPCP2012X06N_12PRIMARY
C31, 65.02, 49.45, 90.00, 1UF, CAPCP2012X06N_11PRIMARY
C32, 43.56, 49.91, 90.00, 1UF, CAPCP2012X06N_2PRIMARY
C33, 84.36, 50.69, 90.00, 1UF, CAPCP2012X06N_10PRIMARY
C34, 56.23, 25.84, 90.00, 1UF, CAPCP2012X06N_9PRIMARY
C35, 75.31, 24.95, 90.00, 1UF, CAPCP2012X06N_8PRIMARY
C36, 21.21, 22.61, 90.00, Cap, CAPCP2012X06N_2PRIMARY
C37, 21.21, 28.83, 90.00, Cap, CAPCP2012X06N_2PRIMARY
C38, 34.42, 27.43, 90.00, Cap, CAPCP2012X06N_2PRIMARY
C39, 43.56, 35.31, 180.00, Cap, CAPCP2012X06N_3PRIMARY
C40, 33.08, 50.31, 270.00, Cap, CAPCP2012X06N_7PRIMARY
C41, 28.51, 56.15, 180.00, Cap, CAPCP2012X06N_6PRIMARY
C42, 108.33, 29.08, 270.00, 0.1UF, CAPCP2012X06N_1PRIMARY
C43, 127.76, 28.32, 270.00, 0.1UF, CAPCP2012X06N_1PRIMARY
C44, 128.02, 9.14, 270.00, 0.1UF, CAPCP2012X06N_1PRIMARY
C45, 108.71, 8.89, 270.00, 0.1UF, CAPCP2012X06N_1PRIMARY
C46, 150.59, 38.99, 180.00, 0.1UF, CAPCP2012X06N_5PRIMARY
C47, 148.97, 17.14, 180.00, 0.1UF, CAPCP2012X06N_3PRIMARY
C48, 144.27, 27.14, 90.00, 68nF, CAPCP2012X06N_4PRIMARY
C49, 144.53, 33.40, 270.00, 680pF, CAPCP2012X06N_1PRIMARY
C50, 143.38, 6.99, 90.00, 68nF, CAPCP2012X06N_2PRIMARY
C51, 143.26, 13.34, 270.00, 680pF, CAPCP2012X06N_1PRIMARY
C52, 172.97, 38.10, 180.00, 0.1UF, CAPCP2012X06N_3PRIMARY
C53, 171.96, 17.91, 180.00, 0.1UF, CAPCP2012X06N_3PRIMARY
C54, 167.64, 26.54, 90.00, 68nF, CAPCP2012X06N_2PRIMARY
C55, 167.64, 32.64, 270.00, 680pF, CAPCP2012X06N_1PRIMARY
C56, 165.48, 6.35, 90.00, 68nF, CAPCP2012X06N_2PRIMARY
C57, 165.35, 12.70, 270.00, 680pF, CAPCP2012X06N_1PRIMARY
D1, 15.62, 70.74, 270.00, Diode, DIOC2012X06N_1PRIMARY
D2, 24.92, 70.74, 270.00, Diode, DIOC2012X06N_1PRIMARY
D3, 34.21, 70.74, 270.00, Diode, DIOC2012X06N_1PRIMARY
D4, 43.51, 70.74, 270.00, Diode, DIOC2012X06N_1PRIMARY
D5, 52.81, 70.74, 270.00, Diode, DIOC2012X06N_1PRIMARY
D6, 62.10, 70.74, 270.00, Diode, DIOC2012X06N_1PRIMARY
IC1, 110.96, 54.99, 0.00, LMV321LICTRT, SOT95P245X110-5N_6PRIMARY
IC10, 82.55, 20.45, 90.00, MCP6N11R, SOIC127P1030X265-8N_1PRIMARY
IC11, 103.40, 28.77, 0.00, LMV321LICTRT, SOT95P245X110-5N_4PRIMARY
IC12, 123.57, 28.45, 0.00, LMV321LICTRT, SOT95P245X110-5N_2PRIMARY
IC13, 122.81, 9.27, 0.00, LMV321LICTRT, SOT95P245X110-5N_2PRIMARY
IC14, 103.38, 8.89, 0.00, LMV321LICTRT, SOT95P245X110-5N_2PRIMARY
IC15, 150.50, 33.02, 0.00, LMV321LICTRT, SOT95P245X110-5N_2PRIMARY
IC16, 148.72, 10.96, 0.00, LMV321LICTRT, SOT95P245X110-5N_3PRIMARY
IC17, 172.85, 32.00, 0.00, LMV321LICTRT, SOT95P245X110-5N_2PRIMARY
IC18, 171.94, 12.07, 0.00, LMV321LICTRT, SOT95P245X110-5N_1PRIMARY
IC2, 138.14, 54.99, 0.00, LMV321LICTRT, SOT95P245X110-5N_6PRIMARY
IC3, 161.66, 54.42, 0.00, LMV321LICTRT, SOT95P245X110-5N_7PRIMARY
IC4, 191.36, 55.37, 0.00, LMV321LICTRT, SOT95P245X110-5N_6PRIMARY
IC5, 219.66, 56.71, 0.00, LMV321LICTRT, SOT95P245X110-5N_5PRIMARY
IC6, 50.93, 45.72, 90.00, MCP6N11R, SOIC127P1030X265-8N_1PRIMARY
IC7, 72.52, 45.64, 90.00, MCP6N11R, SOIC127P1030X265-8N_2PRIMARY
