Quantity,Designator,Footprint,Comment,LCSC Part #,Description
3,"ADC1, ADC2, ADC3",,MCP3208,C16939,
9,"C1, C2, C3, C36, C37, C38, C39, C40, C41",CAPCP2012X06N,1u,C28323,Capacitor
10,"C16, C17, C20, C21, C22, C24, C25, C27, C28, C30",CAPCP2012X06N,1nF,C46653,"CAPACITOR, American symbol"
13,"C18, C19, C23, C26, C29, C42, C43, C44, C45, C46, C47, C52, C53",CAPCP2012X06N,0.1UF,C49678,"CAPACITOR, American symbol"
5,"C31, C32, C33, C34, C35",CAPCP2012X06N,1UF,C28323,"CAPACITOR, American symbol"
4,"C48, C50, C54, C56",CAPCP2012X06N,68nF,C1756,"CAPACITOR, American symbol"
4,"C49, C51, C55, C57",CAPCP2012X06N,680pF,C53150,"CAPACITOR, American symbol"
6,"D1, D2, D3, D4, D5, D6",DIOC2012X06N,Diode,C147278,Default Diode
13,"IC1, IC2, IC3, IC4, IC5, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC18",SOT95P245X110-5N,LMV321LICTRT,C7972,"High Performance, 145 MHz FastFET Op AmpsSource: http://www.analog.com/static/imported-files/data_sheets/AD8065_8066.pdf"
5,"IC6, IC7, IC8, IC9, IC10",SOIC127P1030X265-8N,MCP6N11R,C144213,"Low Cost, Low Power, Instrumentation AmplifierSource: http://www.analog.com/UploadedFiles/Data_Sheets/37793330023930AD620_e.pdf"
15,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15",RESC_0805_2012,2k,C17604,Resistor
5,"R18, R21, R26, R29, R34",RESC_0805_2012,25k,C63863,"RESISTOR, American symbol"
5,"R19, R22, R27, R30, R35",RESC_0805_2012,162k,C17486,"RESISTOR, American symbol"
5,"R20, R23, R28, R32, R36",RESC_0805_2012,50k,C63865,"RESISTOR, American symbol"
5,"R24, R25, R31, R33, R37",RESC_0805_2012,13k,C17455,"RESISTOR, American symbol"
1,R38,RESC_0805_2012,140,C17464,"RESISTOR, American symbol"
1,R39,RESC_0805_2012,470,C17710,"RESISTOR, American symbol"
1,R40,RESC_0805_2012,530,C17734,"RESISTOR, American symbol"
1,R41,RESC_0805_2012,39,C17659,"RESISTOR, American symbol"
14,"R42, R43, R45, R47, R52, R53, R55, R57, RF1, RF2, RF3, RF4, RF5, RPD1",RESC_0805_2012,20K,C4328,"RESISTOR, American symbol"
4,"R44, R46, R54, R56",RESC_0805_2012,22,C17561,"RESISTOR, American symbol"
4,"R48, R49, R58, R59",RESC_0805_2012,3K,C17661,"RESISTOR, American symbol"
8,"R50, R51, R60, R61, R63, R65, R67, R69",RESC_0805_2012,150K,C17470,"RESISTOR, American symbol"
4,"R62, R64, R66, R68",RESC_0805_2012,1.5K,C4310,"RESISTOR, American symbol"
5,"RG1, RG2, RG3, RG4, RG5",RESC_0805_2012,200,C17540,"RESISTOR, American symbol"
1,VR3,SOT95P245X110-3N,AP2210N-3.3TRG1,C155508,3.3V regulator300mA rating.
