Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
ADC2,SOIC127P600X175-16N,217.424,-48.387,T,90,MCP3208
ADC3,SOIC127P600X175-16N,239.522,-48.387,T,90,MCP3208
ADC1,SOIC127P600X175-16N,196.469,-48.4505,T,90,MCP3208
R39,RESC_0805_2012,38.1,-73.787,T,270,470
RPD1,RESC_0805_2012,55.753,-32.258,T,90,20K
RG5,RESC_0805_2012,88.392,-61.835,T,270,200
RG4,RESC_0805_2012,68.834,-61.722,T,270,200
RG3,RESC_0805_2012,97.282,-36.957,T,270,200
RG2,RESC_0805_2012,77.597,-38.119,T,270,200
RG1,RESC_0805_2012,55.753,-39.685,T,270,200
RF5,RESC_0805_2012,75.8766,-67.23,T,270,20K
RF4,RESC_0805_2012,56.007,-66.421,T,270,20K
RF3,RESC_0805_2012,83.82,-40.706,T,270,20K
RF2,RESC_0805_2012,64.262,-42.625,T,270,20K
RF1,RESC_0805_2012,43.18,-42.164,T,270,20K
VR3,SOT95P245X110-3N,28.128,-34.651,T,270,AP2210N-3.3TRG1
R69,RESC_0805_2012,160.274,-72.39,T,270,150K
R68,RESC_0805_2012,160.147,-78.74,T,270,1.5K
R67,RESC_0805_2012,161.671,-52.324,T,270,150K
R66,RESC_0805_2012,161.671,-58.293,T,270,1.5K
R65,RESC_0805_2012,137.287,-71.628,T,270,150K
R64,RESC_0805_2012,137.287,-77.851,T,270,1.5K
R63,RESC_0805_2012,138.684,-51.562,T,270,150K
R62,RESC_0805_2012,138.684,-57.785,T,270,1.5K
R61,RESC_0805_2012,102.997,-79.502,T,180,150K
R60,RESC_0805_2012,122.301,-79.375,T,180,150K
R59,RESC_0805_2012,103.124,-70.358,T,180,3K
R58,RESC_0805_2012,121.031,-69.596,T,180,3K
R57,RESC_0805_2012,97.536,-76.073,T,90,20K
R56,RESC_0805_2012,97.536,-69.977,T,270,22
R55,RESC_0805_2012,116.205,-75.819,T,90,20K
R54,RESC_0805_2012,116.205,-69.054,T,270,22
R53,RESC_0805_2012,108.331,-70.358,T,180,20K
R52,RESC_0805_2012,126.712,-69.469,T,180,20K
R51,RESC_0805_2012,123.444,-62.865,T,180,150K
R50,RESC_0805_2012,103.251,-62.357,T,180,150K
R49,RESC_0805_2012,121.158,-50.546,T,180,3K
R48,RESC_0805_2012,101.346,-50.165,T,180,3K
R47,RESC_0805_2012,117.221,-56.261,T,90,20K
R46,RESC_0805_2012,117.221,-49.403,T,270,22
R45,RESC_0805_2012,96.774,-56.261,T,90,20K
R44,RESC_0805_2012,96.647,-48.895,T,270,22
R43,RESC_0805_2012,126.238,-50.546,T,180,20K
R42,RESC_0805_2012,106.553,-50.165,T,180,20K
R41,RESC_0805_2012,20.574,-73.787,T,90,39
R40,RESC_0805_2012,46.863,-73.787,T,270,530
R38,RESC_0805_2012,29.21,-73.787,T,90,140
R37,RESC_0805_2012,213.614,-27.94,T,90,12.6K
R36,RESC_0805_2012,219.583,-34.417,T,180,50.6K
R35,RESC_0805_2012,229.308,-31.38,T,270,164K
R34,RESC_0805_2012,234.134,-31.38,T,90,24.7K
R33,RESC_0805_2012,185.132,-29.591,T,90,12.6K
R32,RESC_0805_2012,191.262,-35.179,T,180,50.6K
R31,RESC_0805_2012,156.049,-30.48,T,90,12.6K
R30,RESC_0805_2012,200.499,-32.208,T,270,164K
R29,RESC_0805_2012,205.325,-32.208,T,90,24.7K
R28,RESC_0805_2012,161.417,-36.703,T,180,50.6K
R27,RESC_0805_2012,170.688,-33.02,T,270,164K
R26,RESC_0805_2012,175.514,-32.893,T,90,24.7K
R25,RESC_0805_2012,131.953,-29.845,T,90,12.6K
R24,RESC_0805_2012,104.775,-29.972,T,90,12.6K
R23,RESC_0805_2012,137.922,-35.814,T,180,50.6K
R22,RESC_0805_2012,146.0809,-32.843,T,270,164K
R21,RESC_0805_2012,150.64,-32.843,T,90,24.7K
R20,RESC_0805_2012,110.456,-35.687,T,180,50.6K
R19,RESC_0805_2012,119.6649,-34.29,T,270,164K
R18,RESC_0805_2012,124.426,-34.29,T,90,24.7K
R15,RESC_0805_2012,61.672,-7.112,T,270,Res1
R14,RESC_0805_2012,52.3756,-7.112,T,270,Res1
R13,RESC_0805_2012,43.0792,-7.112,T,270,Res1
R12,RESC_0805_2012,67.818,-18,T,90,Res1
R11,RESC_0805_2012,58.547,-18,T,90,Res1
R10,RESC_0805_2012,49.149,-18,T,90,Res1
R9,RESC_0805_2012,33.7828,-7.112,T,270,Res1
R8,RESC_0805_2012,24.4864,-7.112,T,270,Res1
R7,RESC_0805_2012,15.367,-7.112,T,270,Res1
R6,RESC_0805_2012,39.751,-18,T,90,Res1
R5,RESC_0805_2012,30.099,-18,T,90,Res1
R4,RESC_0805_2012,20.828,-18,T,90,Res1
R3,RESC_0805_2012,229.4636,-44.323,T,180,Res1
R2,RESC_0805_2012,207.264,-43.942,T,180,Res1
R1,RESC_0805_2012,187.2488,-44.7294,T,180,Res1
IC18,SOT95P245X110-5N,171.557,-72.898,T,180,LMV321LICTRT
IC17,SOT95P245X110-5N,172.466,-52.959,T,180,LMV321LICTRT
IC16,SOT95P245X110-5N,148.336,-74.007,T,180,LMV321LICTRT
IC15,SOT95P245X110-5N,150.114,-51.943,T,180,LMV321LICTRT
IC14,SOT95P245X110-5N,102.997,-76.073,T,180,LMV321LICTRT
IC13,SOT95P245X110-5N,122.428,-75.692,T,180,LMV321LICTRT
IC12,SOT95P245X110-5N,123.19,-56.515,T,180,LMV321LICTRT
IC11,SOT95P245X110-5N,103.017,-56.195,T,180,LMV321LICTRT
IC10,SOIC127P1030X265-8N,82.169,-64.516,T,90,MCP6N11R
IC9,SOIC127P1030X265-8N,62.992,-63.627,T,90,MCP6N11R
IC8,SOIC127P1030X265-8N,91.567,-38.481,T,90,MCP6N11R
IC7,SOIC127P1030X265-8N,72.136,-39.323,T,90,MCP6N11R
