Net Status Report
Filename     : C:\Users\clayt\Documents\GitHub\arca\ARCA\arca.PcbDoc
Date         : 2021-03-29
Time         : 7:20:25 PM
Time Elapsed : 00:00:01

Nets, Layer, Length
    +10V, Signal Layers Only, 481.8672mm
    +12, Signal Layers Only, 58.4716mm
    +12V, Signal Layers Only, 263.0197mm
    +3V3, Signal Layers Only, 416.8325mm
    +3V3_LC, Signal Layers Only, 246.7669mm
    +3V3_LCAA, Signal Layers Only, 301.5883mm
    +3V3_PT, Signal Layers Only, 117.2421mm
    +5V, Signal Layers Only, 365.1807mm
    ADC1_A5, Signal Layers Only, 20.2434mm
    ADC1_A6, Signal Layers Only, 21.3394mm
    ADC1_A7, Signal Layers Only, 23.3905mm
    ADC1_CS, Signal Layers Only, 91.2041mm
    ADC2_A4, Signal Layers Only, 90.031mm
    ADC2_A5, Signal Layers Only, 93.6919mm
    ADC2_A6, Signal Layers Only, 100.3863mm
    ADC2_A7, Signal Layers Only, 98.9465mm
    ADC2_CS, Signal Layers Only, 52.619mm
    ADC3_A4, Signal Layers Only, 79.7454mm
    ADC3_A5, Signal Layers Only, 107.499mm
    ADC3_A6, Signal Layers Only, 88.0287mm
    ADC3_A7, Signal Layers Only, 102.5416mm
    ADC3_CS, Signal Layers Only, 24.6569mm
    CAL, Signal Layers Only, 228.8374mm
    DRIVER_1, Signal Layers Only, 246.948mm
    DRIVER_1_NEGATIVE, Signal Layers Only, 67.0542mm
    DRIVER_2, Signal Layers Only, 230.4244mm
    DRIVER_2_NEGATIVE, Signal Layers Only, 63.3692mm
    DRIVER_3, Signal Layers Only, 241.3564mm
    DRIVER_3_NEGATIVE, Signal Layers Only, 62.0763mm
    DRIVER_4, Signal Layers Only, 228.4841mm
    DRIVER_4_NEGATIVE, Signal Layers Only, 52.5098mm
    DRIVER_5, Signal Layers Only, 238.0461mm
    DRIVER_5_NEGATIVE, Signal Layers Only, 50.8183mm
    DRIVER_6, Signal Layers Only, 239.5373mm
    DRIVER_6_NEGATIVE, Signal Layers Only, 50.5027mm
    GND, Signal Layers Only, 731.5241mm
    LC1, Signal Layers Only, 109.1448mm
    LC1_OUT_N, Signal Layers Only, 81.3023mm
    LC1_OUT_P, Signal Layers Only, 91.1292mm
    LC1_PREC, Signal Layers Only, 91.9132mm
    LC2, Signal Layers Only, 82.1805mm
    LC2_OUT_N, Signal Layers Only, 80.9254mm
    LC2_OUT_P, Signal Layers Only, 79.5561mm
    LC2_PREC, Signal Layers Only, 94.8891mm
    LC3, Signal Layers Only, 58.8315mm
    LC3_OUT_N, Signal Layers Only, 51.8993mm
    LC3_OUT_P, Signal Layers Only, 53.6374mm
    LC3_PREC, Signal Layers Only, 100.6195mm
    LC4, Signal Layers Only, 26.9835mm
    LC4_OUT_N, Signal Layers Only, 155.0056mm
    LC4_OUT_P, Signal Layers Only, 130.6452mm
    LC4_PREC, Signal Layers Only, 179.6559mm
    LC5, Signal Layers Only, 42.2182mm
    LC5_OUT_N, Signal Layers Only, 103.4969mm
    LC5_OUT_P, Signal Layers Only, 123.5524mm
    LC5_PREC, Signal Layers Only, 178.7381mm
    MISO, Signal Layers Only, 95.9352mm
    MOSI, Signal Layers Only, 129.4549mm
    Net10V_K, Signal Layers Only, 5.9525mm
    Net12V_A, Signal Layers Only, 71.8239mm
    Net12V_K, Signal Layers Only, 5.935mm
    Net3V3_K, Signal Layers Only, 5.9876mm
    Net5V_K, Signal Layers Only, 5.9525mm
    NetC16_1, Signal Layers Only, 9.6727mm
    NetC17_1, Signal Layers Only, 8.9627mm
    NetC20_1, Signal Layers Only, 15.7216mm
    NetC21_1, Signal Layers Only, 15.3472mm
    NetC22_1, Signal Layers Only, 9.9182mm
    NetC24_1, Signal Layers Only, 9.6727mm
    NetC25_1, Signal Layers Only, 16.4595mm
    NetC27_1, Signal Layers Only, 16.7253mm
    NetC28_1, Signal Layers Only, 9.6727mm
    NetC30_1, Signal Layers Only, 17.5487mm
    NetC48_1, Signal Layers Only, 10.214mm
    NetC49_1, Signal Layers Only, 10.3792mm
    NetC50_1, Signal Layers Only, 10.7605mm
