Altium Designer Pick and Place Locations
C:\Users\clayt\Documents\GitHub\arca\ARCA\Project Outputs for arca\Pick Place\Pick Place for arca.csv

========================================================================================================================
File Design Information:

Date:       30-03-21
Time:       18:52
Revision:   c91f5f2eae1ead8c6c68ba0308cad5565012771e
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"ADC2","MCP3208","TopLayer","SOIC127P600X175-16N","217.4240","-48.3870","180",""
"ADC3","MCP3208","TopLayer","SOIC127P600X175-16N","239.5220","-48.3870","180",""
"*","raspberry_pi","TopLayer","HDR2X20","251.8664","-32.8168","270",""
"ADC1","MCP3208","TopLayer","SOIC127P600X175-16N","196.4690","-48.4505","180",""
"Power H","Header 5","TopLayer","HDR1X5","203.5810","-77.3430","360","Header, 5-Pin"
"ADC H","Header 11","TopLayer","HDR1X11","211.2010","-64.6430","360","Header, 11-Pin"
"RZ5","RPot","TopLayer","VR5","78.7400","-52.3710","360","Potentiometer"
"RZ4","RPot","TopLayer","VR5","59.3090","-52.0700","360","Potentiometer"
"RZ3","RPot","TopLayer","VR5","86.8680","-27.1780","360","Potentiometer"
"RZ2","RPot","TopLayer","VR5","68.1990","-27.6390","360","Potentiometer"
"R39","470","TopLayer","RESC_0805_2012","38.1000","-73.7870","270","RESISTOR, American symbol"
"GND","1991118","TopLayer","4PinCanConnector","8.4220","-52.4790","180",""
"Drivers_1","1991118","TopLayer","4PinCanConnector","82.0140","-8.5490","90",""
"Power","1991118","TopLayer","4PinCanConnector","8.8030","-32.1590","180",""
"VR1","UA78M","TopLayer","UA78M","27.0050","-58.4200","90","POSITIVE-VOLTAGE REGULATORS Source: http://focus.ti.com/lit/ds/symlink/ua78m33.pdf"
"TC1","1991118","TopLayer","4PinCanConnector","196.8070","-8.4220","90",""
"RZ1","RPot","TopLayer","VR5","47.4980","-27.3050","360","Potentiometer"
"RPD1","20K","TopLayer","RESC_0805_2012","55.7530","-32.2580","90","RESISTOR, American symbol"
"RG5","200","TopLayer","RESC_0805_2012","88.3920","-61.8350","270","RESISTOR, American symbol"
"RG4","200","TopLayer","RESC_0805_2012","68.8340","-61.7220","270","RESISTOR, American symbol"
"RG3","200","TopLayer","RESC_0805_2012","97.2820","-36.9570","270","RESISTOR, American symbol"
"RG2","200","TopLayer","RESC_0805_2012","77.5970","-38.1190","270","RESISTOR, American symbol"
